"procedure_description"
"SKIN AND SUBCUTANEOUS TISSUE, WOUND (LARGE>3CM), SECONDARY SUTURE (SA854S)"
"URETER, VARIOUS LESIONS,  REIMPLANTATION, UNILATERAL (SG807U)"
"BRONCHOSCOPY WITH BIOPSY, BRONCHOALVEOLAR LAVAGE (SC704B)"
"VEIN (SMALL), INJURY, REPAIR (SINGLE)"
"THORAX, EMPYEMA, RESECTION OF RIB AND OPEN DRAINAGE (SC800T)"
"SHOULDER, SHOULDER SOFT TISSUE INJURY, MIS/OPEN DECOMPRESSION WITH CUFF REPAIR & EXCISION OF DISTAL"
"WRIST, DISTAL RADIUS FRACTURE, ORIF, WITH ULNAR HEAD/STYLOID FIXATION/TFCC REPAIR (SB707W)"
"SPINAL CORD, TUMOURS, LAMINECTOMY AND EXCISION (INTRADURAL INTRAMEDULLARY) (SK728S)"
"Uterus/vagina, MIS assisted vaginal hysterectomy (LAVH) with/without Pelvic Floor Repair (PFR) (SI71"
"HEART, PATENT DUCTUS ARTERIOSUS, LIGATION"
"TOES, TOE DEFORMITY"
"UTERUS, FIBROIDS, MYOMECTOMY (COMPLICATED) (>5CM)"
"TRACHEA, VARIOUS LESIONS, TRACHEOSTOMY (SC817T)"
"BLADDER, URACHAL FISTULA, OPEN EXCISION"
"LIVER, VARIOUS LESIONS, LAPAROSCOPIC ULTRASOUND AND LOCAL ABLATION INCLUDING RADIO-FREQUENCY ABLATIO"
"DOUBLE BALLOON ENTEROSCOPY-THERAPEUTIC"
"ORBIT, VARIOUS LESIONS, RECONSTRUCTION OF FLOOR/ROOF WITH ALLOPLASTIC MATERIAL (SL810O)"
"UTERUS, GRAVID, EVACUATION (SIMPLE/TOP)"
"UTERUS, FIBROIDS, MYOMECTOMY (SIMPLE, <5CM) (SI709U)"
"URETHRA, INJURY, REPAIR/URETHROPLASTY OF ANTERIOR URETHRA (SG816U)"
"RECTUM, ULTRA-LOW ANTERIOR RESECTION (TOTAL MESORECTAL EXCISION) WITH/WITHOUT PLND"
